"DSLG","19-Nov-2019","2129.68","2135.5","2121.94","2126.1","7718300"
"DSLW","19-Nov-2019","1146.53","1148.89","1141.7","1146.35","0"
"DSMC","19-Nov-2019","1655.79","1665.06","1648.78","1661.76","90241100"
"DSME","19-Nov-2019","1058.11","1064.34","1053.59","1061.45","140920000"
"DSMF","19-Nov-2019","9.64","9.73","9.62","9.69","7104300"
"DSMG","19-Nov-2019","86.2","87.81","86.09","87","7467800"
"DSMR","19-Nov-2019","55.42","55.47","55.24","55.27","28990600"
"DSMS","19-Nov-2019","944.52","952.29","942.69","949.82","7889700"
"DSMT","19-Nov-2019","273.7","276.09","272.19","273.34","273900"
"DSMU","19-Nov-2019","218.38","219.7","217.68","218.64","30467200"
"DSNC","19-Nov-2019","646.17","646.48","643.04","644.24","238872200"
"DSNF","19-Nov-2019","147.28","151.02","147.21","150.89","20572000"
"DSNG","19-Nov-2019","805.96","806.93","799.98","800.71","109065900"
"DSNS","19-Nov-2019","1881.53","1883.66","1871.45","1877.3","72947200"
"DSOG","19-Nov-2019","531.29","531.29","521.97","522.59","252993900"
"DSOI","19-Nov-2019","215.05","215.05","210.55","212.47","45474000"
"DSOL","19-Nov-2019","504.18","504.18","496.23","496.86","33858300"
"DSOQ","19-Nov-2019","316.91","316.91","312.64","313.51","81500100"
"DSOS","19-Nov-2019","592.89","592.89","580.51","581.73","219135600"
"DSPB","19-Nov-2019","418.25","420.97","417.54","419.9","7086600"
"DSPC","19-Nov-2019","326.6","327.77","325.41","326.81","4300300"
"DSPG","19-Nov-2019","656.66","658.09","650.85","653.81","43237200"
"DSPL","19-Nov-2019","650.22","650.22","643.79","644.09","36026000"
"DSPM","19-Nov-2019","91.81","93.58","91.7","92.68","6192500"
"DSPN","19-Nov-2019","788.49","793.77","788.49","792.37","208765100"
"DSPP","19-Nov-2019","143.27","143.35","140.93","141.12","615500"
"DSPR","19-Nov-2019","572.64","575.04","571.14","573.85","102607200"
"DSRA","19-Nov-2019","993.16","1006.83","983.57","989.78","78972700"
"DSRB","19-Nov-2019","1929.82","1933.25","1915.6","1925.05","62253000"
"DSRD","19-Nov-2019","895.77","895.77","884.8","888.15","6987700"
"DSRE","19-Nov-2019","366.82","367.57","365.66","366.76","164097200"
"DSRH","19-Nov-2019","490.84","492.08","485.67","489.26","3445300"
"DSRI","19-Nov-2019","151.67","152.03","151.16","151.66","160651800"
"DSRL","19-Nov-2019","108.78","108.81","107.6","107.83","16029500"
"DSRN","19-Nov-2019","255.76","256.72","254.63","256.15","11935300"
"DSRP","19-Nov-2019","366.73","367.8","364.75","364.99","1665100"
"DSRQ","19-Nov-2019","138.28","138.74","137.78","138.07","11717000"
"DSRR","19-Nov-2019","2430.3","2439.14","2425.61","2434.62","8629900"
"DSRS","19-Nov-2019","1725.19","1725.22","1698.85","1708.36","29196200"
"DSRT","19-Nov-2019","1367.87","1367.93","1354.19","1358.59","228172800"
"DSRU","19-Nov-2019","1872.58","1874.79","1864.68","1866.84","23659100"
"DSSB","19-Nov-2019","1238.32","1247.38","1237.26","1244.71","30140900"
"DSSC","19-Nov-2019","4121.31","4128.1","4055.73","4080.62","214401200"
"DSSD","19-Nov-2019","742.67","744.73","739.32","741.86","20770400"
"DSSF","19-Nov-2019","383.93","388.33","383.65","387.39","30423300"
"DSSP","19-Nov-2019","315.28","318.55","314.98","317.06","13929700"
"DSSR","19-Nov-2019","229.51","230.63","228.6","229.92","46818100"
"DSST","19-Nov-2019","241.18","241.19","236.07","236.42","14703000"
"DSSV","19-Nov-2019","2842.68","2848.4","2831.38","2840.63","219278200"
"DSSW","19-Nov-2019","2944.12","2954.14","2931.35","2945.14","127428000"
"DSTB","19-Nov-2019","662.68","664","650.04","650.37","15125100"
"DSTC","19-Nov-2019","2300.44","2300.44","2284.28","2292.81","543303800"
"DSTK","19-Nov-2019","855.95","856.64","847.29","853.81","3281300"
"DSTL","19-Nov-2019","191.42","191.42","186.83","188.66","86731600"
"DSTP","19-Nov-2019","759.84","759.85","756.57","758.32","0"
